problems,category,model,failure-mode,prompt,prompt-type,programming-lang
Monster_Game_I.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Monster_Game_II.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Necessary_Cities.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Necessary_Roads.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
New_Roads_Queries.txt,advanced_techniques,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
One_Bit_Positions.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Parcel_Delivery.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Reachability_Queries.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Reachable_Nodes.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Reversals_and_Sums.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Signal_Processing.txt,advanced_techniques,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Subarray_Squares.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Substring_Reversals.txt,advanced_techniques,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Task_Assignment.txt,advanced_techniques,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Array_Description.txt,dynamic_programming,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Book_Shop.txt,dynamic_programming,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Coin_Combinations_I.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Coin_Combinations_II.txt,dynamic_programming,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Counting_Numbers.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Counting_Tilings.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Counting_Towers.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Dice_Combinations.txt,dynamic_programming,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Edit_Distance.txt,dynamic_programming,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Elevator_Rides.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Grid_Paths.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Increasing_Subsequence.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Minimizing_Coins.txt,dynamic_programming,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Money_Sums.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Projects.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Rectangle_Cutting.txt,dynamic_programming,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Removal_Game.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Removing_Digits.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Two_Sets_II.txt,dynamic_programming,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Convex_Hull.txt,geometry,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Line_Segment_Intersection.txt,geometry,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Minimum_Euclidean_Distance.txt,geometry,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Point_in_Polygon.txt,geometry,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Point_Location_Test.txt,geometry,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Polygon_Area.txt,geometry,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Polygon_Lattice_Points.txt,geometry,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Building_Roads.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Building_Teams.txt,graph_algorithms,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Coin_Collector.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Counting_Rooms.txt,graph_algorithms,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Course_Schedule.txt,graph_algorithms,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Cycle_Finding.txt,graph_algorithms,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
De_Bruijn_Sequence.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Distinct_Routes.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Download_Speed.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Flight_Discount.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Flight_Routes.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Flight_Routes_Check.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Game_Routes.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Giant_Pizza.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Hamiltonian_Flights.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
High_Score.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Investigation.txt,graph_algorithms,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Knight's_Tour.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Labyrinth.txt,graph_algorithms,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Longest_Flight_Route.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Mail_Delivery.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Message_Route.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Monsters.txt,graph_algorithms,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Planets_and_Kingdoms.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Planets_Cycles.txt,graph_algorithms,gpt-3.5-turbo,COMPILE ERROR,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Planets_Queries_I.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Planets_Queries_II.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Police_Chase.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Road_Construction.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Road_Reparation.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Round_Trip.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Round_Trip_II.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
School_Dance.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Shortest_Routes_I.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Shortest_Routes_II.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Teleporters_Path.txt,graph_algorithms,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Apple_Division.txt,introductory_problems,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Bit_Strings.txt,introductory_problems,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Chessboard_and_Queens.txt,introductory_problems,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Coin_Piles.txt,introductory_problems,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Creating_Strings.txt,introductory_problems,gpt-3.5-turbo,ACCEPTED,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Digit_Queries.txt,introductory_problems,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Gray_Code.txt,introductory_problems,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Grid_Paths.txt,introductory_problems,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Increasing_Array.txt,introductory_problems,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Missing_Number.txt,introductory_problems,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
Number_Spiral.txt,introductory_problems,gpt-3.5-turbo,WRONG ANSWER,"Imagine you are a world-class competitive programmer with multiple gold medals in the IOI. You always strive to solve problems in the most optimal way possible.
Think carefully and step-by-step. Provide your final solution in C++. Keep your explanations short and concise.",Zero-Shot CoT,cpp
